fp_X,fp_Y,fp_Z,Esperado,Redondeo,Overflow,Underflow
8909ab79,0aff2bf5,80000000,80000000,3,0,1
7f800000,dc96ea9b,ff800000,ff800000,0,1,0
dc6970ea,54292384,f11a3bed,f11a3bed,1,0,0
4aac20f8,13daad2e,1f130884,1f130884,2,0,0
7f800000,ffc00000,7fc00000,7fc00000,4,1,0
141edba7,75c81ef9,4a785da5,4a785da5,4,0,0
0dafb482,084832e0,00000000,00000000,3,0,1
71ea774c,7f800000,7f800000,7f800000,1,1,0
7f800000,0904bde6,7f800000,7f800000,1,0,0
ff800000,00000000,7fc00000,7fc00000,0,0,0
09aa51ef,8adca645,80000000,80000000,3,0,1
e9ef005b,ffc00000,7fc00000,7fc00000,4,1,0
7fc00000,ff800000,7fc00000,7fc00000,1,1,0
607f6141,9fc334c8,c0c2bbbb,c0c2bbbb,3,0,0
fc577d8a,7cb27c57,ff800000,ff800000,4,1,0
61e3aced,7fc00000,7fc00000,7fc00000,3,1,0
b2a7a6ec,0f23f36b,8256bd64,8256bd64,2,0,0
2de7b5bf,3f049ce9,2d700f78,2d700f78,4,0,0
b530b6a2,accaea0a,228c11a9,228c11a9,2,0,0
f91693de,856651f1,3f07790c,3f07790c,0,0,0
d74b7e24,8db830a6,25926955,25926955,4,0,0
ffc00000,84d0b6c3,7fc00000,7fc00000,4,0,0
f437b21d,63e883ba,ff800000,ff800000,2,1,0
ca1d6c8e,8b68ff89,160f4784,160f4784,2,0,0
05559550,699ffc6a,2f857a55,2f857a55,3,0,0
00000000,80000000,80000000,80000000,1,0,1
2ed75758,ffc00000,7fc00000,7fc00000,0,0,0
ffc00000,bc83a4c1,7fc00000,7fc00000,2,0,0
463744ac,77799440,7e32abed,7e32abed,3,0,0
00000000,472f4e47,00000000,00000000,0,0,0
ff800000,00000000,7fc00000,7fc00000,2,0,0
b90ee446,7f800000,ff800000,ff800000,1,0,0
7f800000,ff800000,ff800000,ff800000,2,1,0
9dcc66ee,eea024e0,4cffbb8d,4cffbb8d,3,0,0
81e66594,0f76300d,80000000,80000000,2,0,1
7fc00000,426cb2fb,7fc00000,7fc00000,3,1,0
39935d21,5e4237df,585f9979,585f9979,4,0,0
ffc00000,0bbb0889,7fc00000,7fc00000,4,0,0
62563421,86183551,a8feb721,a8feb721,2,0,0
a58fa9fe,0f3c625c,80000000,80000000,2,0,1
50fe970a,53ce2a58,654d07a6,654d07a6,1,0,0
57d535a7,ffc00000,7fc00000,7fc00000,2,1,0
f9ceb7a9,241f9c10,de80e217,de80e217,4,0,0
637e5ea3,ffc00000,7fc00000,7fc00000,1,1,0
ff800000,8c0c2a1e,7f800000,7f800000,2,0,0
65325e43,0bae2257,3172a7fe,3172a7fe,3,0,0
ff800000,cc2aecf1,7f800000,7f800000,2,1,0
b95deeca,758cec39,ef7456c0,ef7456c0,1,0,0
ffc00000,e9f5f571,7fc00000,7fc00000,2,1,0
d9b6f2ce,9fa159a5,39e69d88,39e69d88,3,0,0
07bb4ec0,31760fd7,00000000,00000000,4,0,1
fcb810f5,46db3b8b,ff800000,ff800000,1,1,0
b4032198,98fbb17d,0d80ecda,0d80ecda,4,0,0
17735040,7fc00000,7fc00000,7fc00000,3,0,0
1b5ae717,b5a6f42c,918ec2a2,918ec2a2,3,0,0
7fc00000,1ca87819,7fc00000,7fc00000,3,0,0
61a57d81,9fe7251a,c2156c3c,c2156c3c,2,0,0
6ac850bf,ff800000,ff800000,ff800000,3,1,0
71b47ecb,2395cb9f,55d33ab9,55d33ab9,1,0,0
a44a070c,00000000,80000000,80000000,2,0,1
b0d67f5a,bac1eb59,2c227b34,2c227b34,0,0,0
383a7d03,80000000,80000000,80000000,3,0,1
44f0f0b5,af0e99ba,b4863634,b4863634,2,0,0
38182037,47895dc9,402341f1,402341f1,0,0,0
825195eb,3f1d00b3,82008984,82008984,2,0,0
601bac02,eb402406,ff800000,ff800000,4,1,0
7f800000,3ea64980,7f800000,7f800000,2,0,0
7188e35e,f8e44ece,ff800000,ff800000,3,1,0
4e5793bb,ff800000,ff800000,ff800000,0,1,0
a46c8a1f,04bb4d1a,80000000,80000000,0,0,1
aaeb52c2,5d939b04,c907af04,c907af04,4,0,0
2ad3b337,72f93c9f,5e4e1b72,5e4e1b72,4,0,0
84e0c40d,16b182f8,80000000,80000000,1,0,1
39d9ea9f,9be02ddb,963ed453,963ed453,3,0,0
8886749a,676fb2e6,b07bc9a3,b07bc9a3,1,0,0
ffc00000,b6ebf745,7fc00000,7fc00000,4,0,0
1225ecbd,0cfe5acd,00000000,00000000,4,0,1
ffc00000,7fc00000,7fc00000,7fc00000,4,1,0
cead45e4,133ae5fa,a27d00e0,a27d00e0,1,0,0
f435caf0,80000000,00000000,00000000,4,0,0
ffc00000,ffc00000,7fc00000,7fc00000,4,1,0
7f800000,d6bba58d,ff800000,ff800000,1,1,0
0aa380c4,e8f551de,b41cae85,b41cae85,4,0,0
00000000,a5e75202,80000000,80000000,0,0,1
16b2c713,00000000,00000000,00000000,4,0,1
636cffba,f988620c,ff800000,ff800000,4,1,0
80000000,8e93828d,00000000,00000000,0,0,1
eb487dee,89a80b6d,35839b97,35839b97,3,0,0
b45a9516,e69b32e0,5b8483b5,5b8483b5,3,0,0
52a5607f,80000000,80000000,80000000,0,0,0
b07c0545,7fc00000,7fc00000,7fc00000,2,0,0
7fc00000,21f6c7b2,7fc00000,7fc00000,1,0,0
00000000,370f7de9,00000000,00000000,3,0,1
735c9fe4,80000000,80000000,80000000,0,0,0
7cb523f3,9d52afd6,da9513e8,da9513e8,1,0,0
443e3d5a,7fc00000,7fc00000,7fc00000,3,1,0
f380e9d4,19ec4ab0,cdedfa57,cdedfa57,0,0,0
80000000,7f800000,7fc00000,7fc00000,4,0,0
2723dc5b,f9dd26a8,e18d8df9,e18d8df9,4,0,0
8b77d9f9,e153486a,2d4c8ec5,2d4c8ec5,3,0,0
5bc06668,a04bf539,bc994981,bc994981,4,0,0
ff1697e0,ea3a3089,7f800000,7f800000,0,1,0
80000000,8d398ca2,00000000,00000000,0,0,1
8746c717,ba166109,01e987ff,01e987ff,2,0,0
5d8ad996,80000000,80000000,80000000,4,0,0
26294e9f,be0b2985,a4b8124c,a4b8124c,2,0,0
aecd456c,2d554d01,9cab0882,9cab0882,4,0,0
ffc00000,683d9704,7fc00000,7fc00000,0,1,0
54d34f86,f4efa484,ff800000,ff800000,4,1,0
9709f2c5,3bdd7d18,936eb3f9,936eb3f9,1,0,0
01b1113e,b0a242ce,80000000,80000000,2,0,1
3b14764f,aebc1153,aa5a21dc,aa5a21dc,4,0,0
05606632,8ad6f113,80000000,80000000,1,0,1
ddc85eba,00000000,80000000,80000000,1,0,0
d9f4ef52,f6a805aa,7f800000,7f800000,3,1,0
692c013d,ba5694c4,e4102cfd,e4102cfd,0,0,0
b594ae9f,12487640,8868da34,8868da34,4,0,0
b78e5a91,7fc00000,7fc00000,7fc00000,1,0,0
855283ed,09a87410,80000000,80000000,3,0,1
da44a8a4,576280a3,f22dffb2,f22dffb2,1,0,0
ff800000,de803e05,7f800000,7f800000,2,1,0
50462dd3,5edb5749,6fa9ccc6,6fa9ccc6,4,0,0
d546e573,4c940af5,e2660a54,e2660a54,0,0,0
80000000,70326788,80000000,80000000,4,0,0
fa130da6,0157a7b8,bbf7c19d,bbf7c19d,2,0,0
4b5a09db,113ddb23,1d21b3ea,1d21b3ea,1,0,0
ff800000,c465fdb5,7f800000,7f800000,4,1,0
c1bfa094,ec2c9388,6e812e52,6e812e52,4,0,0
4e196055,ffc00000,7fc00000,7fc00000,0,1,0
00000000,d1b1dcd1,80000000,80000000,1,0,0
ffc00000,513f46b1,7fc00000,7fc00000,1,1,0
e1d4517e,7494ff04,ff800000,ff800000,1,1,0
c7591e7b,88d27338,10b27cb9,10b27cb9,2,0,0
f521b006,c0a08152,764abf63,764abf63,3,0,0
ffc00000,00000000,7fc00000,7fc00000,4,0,0
989372db,80000000,00000000,00000000,4,0,1
80000000,00000000,80000000,80000000,3,0,1
7f800000,ff800000,ff800000,ff800000,4,1,0
950e9c5e,39374246,8ecc2d65,8ecc2d65,4,0,0
7fc00000,f85b1659,7fc00000,7fc00000,1,1,0
7040b7fd,f1baf61a,ff800000,ff800000,4,1,0
80000000,598639a7,80000000,80000000,4,0,0
3fea32a2,80000000,80000000,80000000,4,0,1
86de4f7b,b9ea3956,014b6671,014b6671,3,0,0
5c522e16,7fc00000,7fc00000,7fc00000,2,1,0
ffc00000,bba238c2,7fc00000,7fc00000,3,0,0
d8947c84,83b7cf73,1cd53aab,1cd53aab,2,0,0
548a7d48,ffc00000,7fc00000,7fc00000,3,1,0
4e2ebfca,d9bac82a,e87efff7,e87efff7,0,0,0
00000000,df01e46a,80000000,80000000,0,0,0
ff800000,f7aaba2e,7f800000,7f800000,1,1,0
43918932,6ad485ec,6ef1a380,6ef1a380,0,0,0
ff1e93b2,c6b5d1b3,7f800000,7f800000,0,1,0
97f74878,d3e083fe,2c58dee8,2c58dee8,1,0,0
7f800000,cb90bff5,ff800000,ff800000,1,1,0
d0b55ad2,e0c791c6,720d60dd,720d60dd,1,0,0
34a813f4,36d47bec,2c0b81e3,2c0b81e3,3,0,0
5c2abfe7,80000000,80000000,80000000,2,0,0
364361d3,f1589093,e82548e1,e82548e1,3,0,0
a1f0aa4e,a65db573,08d06d99,08d06d99,2,0,0
9096ea79,4f18b8c3,a0341046,a0341046,1,0,0
7f800000,3ef770b3,7f800000,7f800000,3,0,0
0f35e387,ac777f0b,80000000,80000000,2,0,1
ddd6ed3b,61471be0,ff800000,ff800000,2,1,0
29f61c67,ff800000,ff800000,ff800000,4,0,0
7f800000,9b6e16f5,ff800000,ff800000,2,0,0
5273abaf,7fc00000,7fc00000,7fc00000,4,1,0
ff800000,7aee680f,ff800000,ff800000,4,1,0
d9c2e9ca,23f3314e,be392974,be392974,1,0,0
3f3d11fb,6d70991a,6d31b1ee,6d31b1ee,1,0,0
f3181eea,7f800000,ff800000,ff800000,2,1,0
79877994,eb19f695,ff800000,ff800000,2,1,0
19a92176,80000000,80000000,80000000,4,0,1
7fc00000,147c1267,7fc00000,7fc00000,1,0,0
a48cddeb,ffc00000,7fc00000,7fc00000,4,0,0
f7788317,beaa3bbd,76a5410b,76a5410b,0,0,0
3337a692,00000000,00000000,00000000,1,0,1
7fc00000,412e23b9,7fc00000,7fc00000,0,1,0
6b4cbe00,1e8c8163,4a60bec6,4a60bec6,4,0,0
a0601467,fd694f58,5e4c3805,5e4c3805,1,0,0
80000000,ffc00000,7fc00000,7fc00000,1,0,0
7f800000,3b077fdc,7f800000,7f800000,4,0,0
c56d7e8e,08885487,8e7cf34c,8e7cf34c,4,0,0
7f011fbf,48c4024f,7f800000,7f800000,2,1,0
